Epochs,Learning Rate,Batch Size,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
10,0.001,32,0.057027723640203476,0.059382423758506775,3.485909938812256,3.463017225265503
10,0.001,64,0.05746129900217056,0.059382423758506775,3.4855740070343018,3.4642629623413086
10,0.001,128,0.10140529274940491,0.10593824088573456,3.254199743270874,3.2178356647491455
10,0.01,32,0.05588002875447273,0.05700712651014328,3.488464832305908,3.464033842086792
10,0.01,64,0.055395446717739105,0.059382423758506775,3.487821578979492,3.4644274711608887
10,0.01,128,0.055369939655065536,0.059382423758506775,3.487088441848755,3.463456869125366
10,0.1,32,0.05335509777069092,0.05708630383014679,3.512019634246826,3.491056442260742
10,0.1,64,0.053941696882247925,0.05700712651014328,3.50282621383667,3.481332540512085
10,0.1,128,0.05475783720612526,0.05700712651014328,3.497572660446167,3.4751150608062744
20,0.001,32,0.05684919282793999,0.059382423758506775,3.485908031463623,3.4628608226776123
20,0.001,64,0.05687469616532326,0.059382423758506775,3.485780954360962,3.462742805480957
20,0.001,128,0.057384785264730453,0.059382423758506775,3.485668897628784,3.4628634452819824
20,0.01,32,0.0564156174659729,0.059382423758506775,3.488635540008545,3.464853286743164
20,0.01,64,0.05598204582929611,0.059382423758506775,3.4877679347991943,3.4645166397094727
20,0.01,128,0.055573973804712296,0.05700712651014328,3.4872872829437256,3.463895797729492
20,0.1,32,0.05485985428094864,0.059382423758506775,3.5124995708465576,3.477159023284912
20,0.1,64,0.055624984204769135,0.054631829261779785,3.5036211013793945,3.485666036605835
20,0.1,128,0.05488535761833191,0.054631829261779785,3.5003786087036133,3.4722423553466797
30,0.001,32,0.05493636801838875,0.059382423758506775,3.4858977794647217,3.462886095046997
30,0.001,64,0.055573973804712296,0.059382423758506775,3.48578143119812,3.46309494972229
30,0.001,128,0.05674717575311661,0.059382423758506775,3.4856698513031006,3.462716579437256
30,0.01,32,0.055497463792562485,0.05700712651014328,3.4887893199920654,3.4644858837127686
30,0.01,64,0.05485985428094864,0.05700712651014328,3.4878714084625244,3.4638729095458984
30,0.01,128,0.055854521691799164,0.059382423758506775,3.48708438873291,3.463409900665283
30,0.1,32,0.05445178225636482,0.05700712651014328,3.51113224029541,3.494119882583618
30,0.1,64,0.05603305250406265,0.059382423758506775,3.503164052963257,3.4761078357696533
30,0.1,128,0.0561605766415596,0.05700712651014328,3.498563766479492,3.4778342247009277
